color,cylinder,finn_code,first_reg,fuel_type,gear,km,model,model_year,power,price,trans
Chili Red,"1,5 l",119607959,,Bensin,Automat,100 km,MINI Cabrio,2018,136 Hk,"429 000,-",Forhjulsdrift
Hvit,1 l,138224473,30.07.2015,Bensin,Manuell,82 000 km,Ford Transit Connect,2015,101 Hk,"115 000,-",Forhjulsdrift
Agate grå metallic,3 l,138224804,04.04.2014,Diesel,Automat,84 000 km,Porsche Macan,2014,258 Hk,"699 000,-",Firehjulsdrift
DAYTONAGRÅ,2 l,138224781,19.12.2017,Diesel,Automat,26 377 km,Audi A4,2018,190 Hk,"524 800,-",Firehjulsdrift
Black Sapphire Metallic,2 l,138224772,03.02.2017,Bensin,Automat,22 000 km,BMW 3-serie,2017,184 Hk,"549 000,-",Firehjulsdrift
Flammerød,,138224755,,Bensin,Manuell,14 km,Renault Clio,2019,90 Hk,"2 486,-",Forhjulsdrift
Svart,2 l,103271013,01.07.2008,Bensin,Automat,191 904 km,Honda CR-V,2008,150 Hk,"100 660,-",Firehjulsdrift
Jet Black Metallic,3 l,138224631,09.10.2015,Elektrisitet+bensin,Automat,29 000 km,Porsche Cayenne,2016,416 Hk,"929 000,-",Firehjulsdrift
Går/Svart,"1,5 l",138224646,16.05.2014,Elektrisitet+bensin,Automat,66 000 km,BMW i8,2014,231 Hk,"699 000,-",Forhjulsdrift
Jetset Blue,"1,6 l",138224652,,Diesel,Automat,10 km,Jeep Renegade,2019,120 Hk,"389 500,-",Forhjulsdrift
TORNADORED,2 l,138224659,23.08.2017,Diesel,Automat,31 000 km,Volkswagen Golf Alltrack,2018,184 Hk,"379 800,-",Firehjulsdrift
Blå,1 699 l,138220554,20.09.2007,Bensin,Automat,211 000 km,Mercedes-Benz B-Klasse,2005,116 Hk,"31 518,-",Vinterdekk men har også 4 nye sommerdekk
TORNADORED,2 l,138224659,23.08.2017,Diesel,Automat,31 000 km,Volkswagen Golf Alltrack,2018,184 Hk,"379 800,-",Firehjulsdrift
Blå,1 699 l,138220554,20.09.2007,Bensin,Automat,211 000 km,Mercedes-Benz B-Klasse,2005,116 Hk,"31 518,-",Vinterdekk men har også 4 nye sommerdekk
MYTHOSSORT,2 l,138224726,11.09.2015,Diesel,Automat,59 017 km,Audi A4 allroad,2016,190 Hk,"399 800,-",Firehjulsdrift
DEEP BLACK MET/SORT,"1,2 l",138224598,15.06.2015,Bensin,Automat,57 784 km,Volkswagen Beetle,2015,105 Hk,"274 800,-",Forhjulsdrift
Rød,1 390 l,138221441,03.11.1998,Bensin,Manuell,137 000 km,Volkswagen Golf,1999,75 Hk,"24 618,-",Forhjulsdrift
Magnetic Red,"1,2 l",138224438,16.07.2015,Bensin,Automat,61 470 km,Nissan Qashqai,2015,116 Hk,"199 900,-",Forhjulsdrift
Bright silver met.,2 l,138224434,25.04.2018,Diesel,Automat,18 610 km,Volvo S90,2017,235 Hk,"699 900,-",Firehjulsdrift
Metallic,,138224445,18.10.2011,Diesel,Automat,86 000 km,Mitsubishi Pajero,2011,200 Hk,"429 000,-",Firehjulsdrift
Svart,2 l,138224466,21.02.2012,Diesel,Automat,87 000 km,Volvo V70,2012,163 Hk,"239 775,-",Forhjulsdrift
Black Sapphire Metallic,"2,4 l",138224468,09.07.2014,Diesel,Automat,97 000 km,Volvo XC 70,2014,215 Hk,"419 000,-",Firehjulsdrift
Svart blank,3 l,138224410,08.12.2014,Elektrisitet+bensin,Automat,59 000 km,Porsche Cayenne,2015,333 Hk,"11 770,-",Firehjulsdrift
Electric silver Met. 477,"2,4 l",138224403,24.05.2017,Diesel,Automat,52 013 km,Volvo XC 60,2017,190 Hk,"519 900,-",Firehjulsdrift
Hvit,0 l,138224423,18.09.2018,Elektrisitet+bensin,Automat,1 900 km,Mitsubishi Outlander,2019,230 Hk,"439 600,-",Firehjulsdrift
Sølv metallic,"1,4 l",138224319,20.04.2017,Bensin,Automat,12 900 km,Opel Mokka,2017,152 Hk,"328 900,-",Firehjulsdrift
PEPPER GREY MET,"1,6 l",138224314,18.12.2015,Diesel,Manuell,46 936 km,Volkswagen Touran,2016,110 Hk,"284 800,-",Forhjulsdrift
QUARTZ GREY MET,"1,8 l",138224282,20.07.2016,Bensin,Automat,88 868 km,Skoda Octavia Scout,2016,179 Hk,"339 900,-",Firehjulsdrift
TUNGSTEN SILVER META,,138224270,07.12.2015,Elektrisitet,Automat,32 300 km,Volkswagen Golf,2016,116 Hk,"239 900,-",Forhjulsdrift
Grå,,138224261,22.02.2005,Diesel,Manuell,192 000 km,Opel Signum,2005,120 Hk,"39 990,-",Forhjulsdrift
Cosmos Black Metallic,"1,6 l",138224173,26.10.2018,Bensin,Automat,4 800 km,Mercedes-Benz GLA,2019,122 Hk,"479 000,-",Forhjulsdrift
Hvit,2 l,138224246,11.09.2017,Elektrisitet+bensin,Automat,65 000 km,Volvo XC 90,2018,407 Hk,"779 000,-",Firehjulsdrift
Aspensilber metallic 339,2 494 l,133937333,09.12.1997,Bensin,Manuell,230 000 km,BMW 5-serie,1997,170 Hk,"50 000,-",Bakhjulsdrift
Onyx black Metallic 717,2 l,138224026,,Diesel,Automat,7 750 km,Volvo V40,2018,120 Hk,"3 500,-",Forhjulsdrift
Obsidental Metallic,"3,5 l",129463468,11.11.2005,Bensin,Automat,59 000 km,Mercedes-Benz S-Klasse,2006,272 Hk,"272 000,-",ASD
Hvit,"2,1 l",138218622,,Diesel,Manuell,159 000 km,Mercedes-Benz Vito,2012,136 Hk,"79 000,-",Bakhjulsdrift
Grønn,"2,4 l",138213852,21.08.1997,Bensin,Automat,221 966 km,Volvo V70,1998,193 Hk,"66 618,-",Firehjulsdrift
Blå,1 l,138224056,03.11.2016,Bensin,Manuell,4 900 km,Audi A1,2016,95 Hk,"199 000,-",Forhjulsdrift
Metallic,"1,4 l",138223713,20.12.2018,Bensin,Automat,500 km,Suzuki SX4 S-Cross,2018,140 Hk,"385 000,-",Firehjulsdrift
Grønn,1 995 l,138217656,10.12.2007,Diesel,Manuell,314 000 km,Toyota Avensis,2004,116 Hk,"11 618,-",Forhjulsdrift
Grå,2 l,138218494,26.10.2005,Diesel,Manuell,163 500 km,Peugeot Partner,2005,90 Hk,"24 118,-",Forhjulsdrift
DEEP PURPLE MICA,"1,5 l",138223847,23.08.2012,Diesel,Manuell,88 000 km,Nissan Juke,2012,110 Hk,"109 900,-",Forhjulsdrift
Is hvit 614,"1,6 l",138223884,28.08.2014,Diesel,Manuell,66 000 km,Volvo V40,2015,114 Hk,"179 000,-",Forhjulsdrift
Bursting blue met.,2 l,138223843,02.01.2018,Elektrisitet+bensin,Automat,22 000 km,Volvo S90,2018,407 Hk,"669 900,-",Firehjulsdrift
Blå,"1,2 l",138219849,11.03.2003,Bensin,Manuell,87 140 km,Volkswagen Polo,2003,64 Hk,"20 000,-",Forhjulsdrift
Svart,"1,6 l",138223804,26.08.2011,Diesel,Manuell,79 800 km,Citroen DS3,2012,92 Hk,"75 000,-",Forhjulsdrift
Grå,2 l,138219614,20.05.2003,Bensin,Manuell,233 227 km,Peugeot 307 SW,2003,136 Hk,"14 618,-",Forhjulsdrift
Grå,"1,6 l",138217659,20.12.2004,Bensin,Automat,84 700 km,Mazda 3,2004,105 Hk,"39 000,-",Forhjulsdrift
Blå,"1,4 l",138125591,,Bensin,Automat,62 454 km,Volkswagen Golf,2014,122 Hk,"169 999,-",Forhjulsdrift
Svart,"1,2 l",138223231,,Bensin,Manuell,9 500 km,Citroen C3,2018,82 Hk,"1 499,-",Forhjulsdrift
Rød,1 390 l,138216866,14.06.2001,Bensin,Manuell,152 457 km,Skoda Fabia,2002,101 Hk,"13 618,-",Forhjulsdrift
Svart,"1,3 l",138221814,,Bensin,Manuell,108 700 km,Suzuki Swift,2008,91 Hk,"34 900,-",Firehjulsdrift
Blå,2 494 l,138223607,,Diesel,Manuell,121 824 km,Toyota HiAce,2008,117 Hk,"95 794,-",Firehjulsdrift
Universal White,2 l,138223582,31.08.2017,Diesel,Automat,35 689 km,Renault Koleos,2017,177 Hk,"459 000,-",Firehjulsdrift
Beige met.,2 l,138223600,02.07.2004,Diesel,Manuell,132 000 km,Toyota RAV4,2004,116 Hk,"89 000,-",Firehjulsdrift
Krystal white,"2,4 l",138223558,19.03.2015,Diesel,Automat,92 107 km,Volvo XC 70,2015,215 Hk,"449 800,-",Firehjulsdrift
Svart,1 796 l,138219395,08.03.2004,Bensin,Automat,202 806 km,Mercedes-Benz CLK,2003,163 Hk,"36 618,-",Bakhjulsdrift
Sølv Metallic,"1,4 l",138223547,29.09.2009,Diesel,Manuell,81 698 km,Toyota Urban Cruiser,2009,90 Hk,"109 900,-",Firehjulsdrift
Svart,0 l,138223540,01.01.2016,Elektrisitet,Automat,19 500 km,Nissan e-NV200,2016,109 Hk,"205 000,-",Forhjulsdrift
Osmium Grey Metallic 714,2 l,138223467,18.03.2016,Diesel,Automat,61 933 km,Volvo XC 90,2016,190 Hk,"699 900,-",Firehjulsdrift
vinrød,"1,2 l",138223433,,Bensin,Manuell,98 000 km,Ford Fiesta,2010,60 Hk,"62 696,-",Forhjulsdrift
Grønn,"1,5 l",138223538,30.11.1994,Bensin,,144 000 km,Toyota Corolla,1995,92 Hk,"19 594,-",Forhjulsdrift
Svart,"1,3 l",138221814,,Bensin,Manuell,108 700 km,Suzuki Swift,2008,91 Hk,"34 900,-",Firehjulsdrift
Blå,2 494 l,138223607,,Diesel,Manuell,121 824 km,Toyota HiAce,2008,117 Hk,"95 794,-",Firehjulsdrift
Universal White,2 l,138223582,31.08.2017,Diesel,Automat,35 689 km,Renault Koleos,2017,177 Hk,"459 000,-",Firehjulsdrift
Beige met.,2 l,138223600,02.07.2004,Diesel,Manuell,132 000 km,Toyota RAV4,2004,116 Hk,"89 000,-",Firehjulsdrift
Krystal white,"2,4 l",138223558,19.03.2015,Diesel,Automat,92 107 km,Volvo XC 70,2015,215 Hk,"449 800,-",Firehjulsdrift
Svart,1 796 l,138219395,08.03.2004,Bensin,Automat,202 806 km,Mercedes-Benz CLK,2003,163 Hk,"36 618,-",Bakhjulsdrift
Sølv Metallic,"1,4 l",138223547,29.09.2009,Diesel,Manuell,81 698 km,Toyota Urban Cruiser,2009,90 Hk,"109 900,-",Firehjulsdrift
Svart,0 l,138223540,01.01.2016,Elektrisitet,Automat,19 500 km,Nissan e-NV200,2016,109 Hk,"205 000,-",Forhjulsdrift
Osmium Grey Metallic 714,2 l,138223467,18.03.2016,Diesel,Automat,61 933 km,Volvo XC 90,2016,190 Hk,"699 900,-",Firehjulsdrift
vinrød,"1,2 l",138223433,,Bensin,Manuell,98 000 km,Ford Fiesta,2010,60 Hk,"62 696,-",Forhjulsdrift
Grønn,"1,5 l",138223538,30.11.1994,Bensin,,144 000 km,Toyota Corolla,1995,92 Hk,"19 594,-",Forhjulsdrift
Sort Safir Metallic 452,"2,4 l",138223430,23.08.2012,Diesel,Automat,142 873 km,Volvo XC 70,2012,163 Hk,"329 000,-",Firehjulsdrift
Rød,0 l,138223423,,Elektrisitet,Automat,20 km,Hyundai Ioniq,2018,120 Hk,"299 000,-",Forhjulsdrift
Sølv,1 998 l,138219403,07.03.2006,Diesel,Manuell,168 850 km,Ford Mondeo,2006,116 Hk,"13 618,-",Forhjulsdrift
Blå,"1,8 l",138222635,2004,Bensin,Automat,219 000 km,Mercedes-Benz SLK,2005,163 Hk,"127 618,-",Bakhjulsdrift
Cubanit sølv metallic,3 l,138223391,27.09.2007,Diesel,Automat,182 000 km,Mercedes-Benz GL,2008,224 Hk,"299 000,-",Firehjulsdrift
Grå,0 l,138223312,,Elektrisitet,Automat,20 km,Hyundai Ioniq,2018,120 Hk,"299 000,-",Forhjulsdrift
REFLEXSØLV MET.,2 l,138223394,24.04.2018,Diesel,Automat,25 000 km,Volkswagen Crafter,2018,177 Hk,"429 000,-",Forhjulsdrift
Grå,2 143 l,124772078,27.06.2010,Diesel,Automat,460 000 km,Mercedes-Benz E-Klasse,2010,170 Hk,"78 719,-",Bakhjulsdrift
Grå,"1,6 l",138223318,07.07.2011,Diesel,Manuell,123 000 km,Volvo V60,2012,114 Hk,"119 000,-",
Blå,2 494 l,138219615,30.11.2003,Diesel,Manuell,216 000 km,Toyota HiAce,2003,102 Hk,"33 079,-",Firehjulsdrift
REFLEXSØLV MET.,3 l,138223305,04.01.2018,Diesel,Automat,39 000 km,Volkswagen Amarok,2018,224 Hk,"499 000,-",Firehjulsdrift
Grå,"1,4 l",138223290,26.02.2007,Diesel,Manuell,156 000 km,Toyota Corolla,2007,90 Hk,"47 618,-",Forhjulsdrift
metallic,2 l,137947361,10.05,Bensin,Automat,237 000 km,Saab 9-3,2006,150 Hk,"39 000,-",Forhjulsdrift
Onyx black Metallic 717,2 l,138223271,21.10.2016,Diesel,Automat,31 532 km,Volvo V90,2017,235 Hk,"629 900,-",Firehjulsdrift
Hvit,"1,6 l",138223206,04.11.2013,Diesel,Manuell,22 000 km,Volkswagen Caddy Maxi,2014,102 Hk,"138 900,-",Forhjulsdrift
GRÅ MET,"1,8 l",138223124,30.01.2018,Elektrisitet+bensin,Automat,8 500 km,Toyota Prius Plug-in Hybrid,2018,98 Hk,"309 000,-",Forhjulsdrift
Denim Blue Metallic 723,2 l,138223098,13.07.2018,Diesel,Automat,11 111 km,Volvo V60,2019,190 Hk,"589 900,-",Forhjulsdrift
Cometgrå Met,2 l,138220905,27.11.2007,Diesel,Automat,111 400 km,Mercedes-Benz B-Klasse,2008,109 Hk,"79 000,-",Forhjulsdrift
Hvit,"2,2 l",138223066,11.11.2008,Diesel,Manuell,163 700 km,Ford Transit,2009,86 Hk,"57 900,-",Forhjulsdrift
MISANORØD/BRILLANTS,1 l,138222974,26.01.2016,Bensin,Manuell,33 600 km,Audi A1,2016,95 Hk,"174 000,-",Forhjulsdrift
Sort metalic,2 l,138222976,,Diesel,Manuell,233 000 km,Audi A6,2005,140 Hk,"32 618,-",Forhjulsdrift
RACE BLUE METALLIC,1 l,138222944,22.12.2015,Bensin,Manuell,24 800 km,Skoda Fabia,2016,75 Hk,"127 000,-",Forhjulsdrift
Grå,,138222903,09.11.2017,Bensin,Automat,16 540 km,Subaru Impreza,2018,156 Hk,"369 000,-",Firehjulsdrift
Grønn,"1,4 l",138221809,,Diesel,Manuell,284 000 km,Skoda Roomster,2008,80 Hk,"10 594,-",Forhjulsdrift
Grå,"2,2 l",138073828,,Bensin,Automat,208 000 km,BMW 5-serie,2003,170 Hk,"26 618,-",Bakhjulsdrift
Hvit,2 148 l,138218065,11.09.2011,Diesel,Manuell,230 000 km,Mercedes-Benz Sprinter,2006,150 Hk,"69 999,-",Bakhjulsdrift
Rød,"1,6 l",138222871,27.09.2013,Diesel,Automat,68 000 km,Citroen DS3,2013,92 Hk,"119 999,-",Forhjulsdrift
Grå,"2,2 l",138215755,28.12.2003,Diesel,Automat,301 250 km,Saab 9-5,2004,120 Hk,"10 700,-",Forhjulsdrift
Svart,2 496 l,138217825,22.12.2004,Diesel,Automat,211 000 km,Audi A6,2005,179 Hk,"59 618,-",Firehjulsdrift
Svart,,138222611,29.04.2015,Elektrisitet,Automat,50 000 km,Citroen C-Zero,2015,48 Hk,"99 900,-",Bakhjulsdrift
Imperialblå metallic (C1W),,138222587,13.11.2018,Elektrisitet,Automat,555 km,BMW i3,2018,170 Hk,"338 500,-",Bakhjulsdrift
Blå,"1,6 l",134807214,17.04.2011,Bensin,Manuell,112 400 km,Citroen DS3,2011,156 Hk,"82 656,-",Forhjulsdrift
SHADOWBLÅ MET,"1,6 l",138222566,19.04.2012,Diesel,Automat,90 690 km,Volkswagen Golf Plus,2012,105 Hk,"149 000,-",Forhjulsdrift
Sølv,"2,5 l",138219239,11.10.2004,Diesel,Manuell,233 000 km,Toyota HiAce,2004,102 Hk,"43 079,-",Firehjulsdrift
Svart,2 l,138218072,,Diesel,Automat,184 000 km,BMW 5-serie,2006,150 Hk,"80 000,-",Bakhjulsdrift
Grå,0 l,138222537,07.10.2014,Elektrisitet,Automat,60 000 km,BMW i3,2015,170 Hk,"174 000,-",Bakhjulsdrift
Sølv,"2,1 l",138222528,26.04.2004,Diesel,Automat,333 100 km,Mercedes-Benz,2004,122 Hk,"29 000,-",Bakhjulsdrift
Shadow Black met.,1 l,138222551,15.12.2015,Bensin,Manuell,15 900 km,Ford Fiesta,2016,101 Hk,"169 000,-",Forhjulsdrift
Svart,"1,6 l",138222545,03.02.2011,Diesel,Manuell,101 800 km,Ford C-Max,2011,116 Hk,"89 900,-",Forhjulsdrift
Svart,,138222611,29.04.2015,Elektrisitet,Automat,50 000 km,Citroen C-Zero,2015,48 Hk,"99 900,-",Bakhjulsdrift
Imperialblå metallic (C1W),,138222587,13.11.2018,Elektrisitet,Automat,555 km,BMW i3,2018,170 Hk,"338 500,-",Bakhjulsdrift
Blå,"1,6 l",134807214,17.04.2011,Bensin,Manuell,112 400 km,Citroen DS3,2011,156 Hk,"82 656,-",Forhjulsdrift
SHADOWBLÅ MET,"1,6 l",138222566,19.04.2012,Diesel,Automat,90 690 km,Volkswagen Golf Plus,2012,105 Hk,"149 000,-",Forhjulsdrift
Sølv,"2,5 l",138219239,11.10.2004,Diesel,Manuell,233 000 km,Toyota HiAce,2004,102 Hk,"43 079,-",Firehjulsdrift
Svart,2 l,138218072,,Diesel,Automat,184 000 km,BMW 5-serie,2006,150 Hk,"80 000,-",Bakhjulsdrift
Grå,0 l,138222537,07.10.2014,Elektrisitet,Automat,60 000 km,BMW i3,2015,170 Hk,"174 000,-",Bakhjulsdrift
Sølv,"2,1 l",138222528,26.04.2004,Diesel,Automat,333 100 km,Mercedes-Benz,2004,122 Hk,"29 000,-",Bakhjulsdrift
Shadow Black met.,1 l,138222551,15.12.2015,Bensin,Manuell,15 900 km,Ford Fiesta,2016,101 Hk,"169 000,-",Forhjulsdrift
Svart,"1,6 l",138222545,03.02.2011,Diesel,Manuell,101 800 km,Ford C-Max,2011,116 Hk,"89 900,-",Forhjulsdrift
Blå,"1,5 l",138222532,17.04.2007,Diesel,Manuell,194 000 km,Nissan Qashqai,2007,106 Hk,"49 900,-",Forhjulsdrift
Grå,1 584 l,138217229,04.08.2003,Bensin,Manuell,103 366 km,Mitsubishi Space Star I,2003,98 Hk,"11 618,-",Forhjulsdrift
Metallic,0 l,138222539,02.05.2016,Elektrisitet,Automat,46 200 km,Nissan Leaf,2016,109 Hk,"224 800,-",Forhjulsdrift
HONEY YELLOW MET,1 l,138222433,16.11.2016,Bensin,Manuell,10 959 km,Volkswagen UP!,2017,60 Hk,"124 800,-",Forhjulsdrift
Koksgrå Metallic,,138222420,30.05.2013,Diesel,Manuell,55 900 km,Fiat Doblo,2013,90 Hk,"99 000,-",Forhjulsdrift
Sølv,2 l,138222353,12.12.2016,Bensin,Automat,24 509 km,Subaru XV,2017,150 Hk,"319 900,-",Firehjulsdrift
Sort met,"2,4 l",138222355,10.12.2018,Elektrisitet+bensin,Automat,20 km,Mitsubishi Outlander,2019,230 Hk,"3 204,-",Firehjulsdrift
Svart,"2,1 l",138222233,17.03.2011,Diesel,Manuell,73 000 km,Mercedes-Benz C-Klasse,2011,120 Hk,"138 775,-",Bakhjulsdrift
Hvit,"1,2 l",138222241,01.01.2015,Bensin,Automat,52 000 km,Volkswagen Golf Sportsvan,2015,110 Hk,"189 000,-",Forhjulsdrift
Svart,"1,4 l",138222240,03.01.2007,Bensin,Manuell,189 000 km,Peugeot 207,2007,88 Hk,"39 000,-",Forhjulsdrift
Black Magic Metallic,2 l,138222229,05.04.2018,Diesel,Automat,14 900 km,Skoda Karoq,2018,150 Hk,"489 000,-",Firehjulsdrift
Hvit,2 l,138222237,22.12.2017,Elektrisitet+bensin,Automat,20 000 km,Volvo XC 90,2018,408 Hk,"899 000,-",Firehjulsdrift
Grå,0 l,138222245,,Elektrisitet,Automat,17 km,Hyundai Kona,2019,,"414 000,-",Forhjulsdrift
Grå,2 l,129880934,11.10.2007,Bensin,Manuell,161 600 km,Volvo V50,2008,145 Hk,"68 719,-",Forhjulsdrift
Grå,2 l,138217632,18.03.2009,Diesel,Manuell,233 231 km,Toyota Corolla Verso,2004,116 Hk,"26 618,-",Forhjulsdrift
Grå,2 l,138218177,25.08.2005,Bensin,Automat,153 189 km,Suzuki Grand Vitara,2005,140 Hk,"51 618,-",Firehjulsdrift
Grå,"1,9 l",138220746,16.07.2007,Diesel,Manuell,181 285 km,Volkswagen Jetta,2007,105 Hk,"39 000,-",Forhjulsdrift
Sølv,1 l,138222062,29.01.2016,Bensin,Manuell,19 700 km,Toyota Aygo,2016,69 Hk,"135 000,-",Forhjulsdrift
MYTHOSSORT,3 l,138222148,04.01.2016,Diesel,Automat,34 361 km,Audi A6 allroad,2015,211 Hk,"550 000,-",Firehjulsdrift
Grå Metallic - framstår som sølv,"1,6 l",94912293,18.02.2014,Diesel,Manuell,72 000 km,Peugeot 5008,2014,114 Hk,"159 000,-",Forhjulsdrift
Svart,2 l,138221990,18.12.2014,Diesel,Automat,144 331 km,Audi A6,2015,150 Hk,"339 900,-",Forhjulsdrift
Hvit perlemor,2 l,138222004,05.01.2015,Diesel,Manuell,92 069 km,Toyota RAV4,2015,124 Hk,"309 900,-",Firehjulsdrift
Svart,2 l,138217009,27.02.2002,Bensin,Automat,287 181 km,Mercedes-Benz CLK,2000,100 Hk,"23 618,-",Bakhjulsdrift
Grå,"1,2 l",138222013,22.08.2017,Bensin,Manuell,19 413 km,Nissan Qashqai,2017,116 Hk,"299 000,-",Forhjulsdrift
Grå,1 560 l,138135545,18.04.2006,Diesel,Manuell,200 821 km,Volvo V50,2006,109 Hk,"46 618,-",Forhjulsdrift
Metallic,"1,2 l",138221980,30.03.2015,Bensin,Manuell,28 600 km,Citroen DS3,2015,82 Hk,"145 000,-",Forhjulsdrift
Bronze,"1,6 l",138221967,03.02.2015,Diesel,Automat,49 000 km,Nissan Qashqai,2015,131 Hk,"249 000,-",Forhjulsdrift
Brun,"1,5 l",138221979,24.04.2015,Diesel,Manuell,35 773 km,Nissan Qashqai,2015,110 Hk,"229 000,-",Forhjulsdrift
Grå,"1,5 l",138221983,26.11.2015,Elektrisitet+bensin,Automat,50 400 km,Toyota Yaris,2015,73 Hk,"159 000,-",Forhjulsdrift
Oolongrå,3 l,138221962,25.11.2014,Diesel,Automat,140 307 km,Audi A6 allroad,2015,211 Hk,"429 900,-",Firehjulsdrift
,"2,2 l",138221942,,Diesel,Manuell,116 006 km,Mazda 6,2014,150 Hk,"259 900,-",Forhjulsdrift
Koksgrå metallic,"1,2 l",138220828,,Bensin,Manuell,9 325 km,Citroen C3,2018,82 Hk,"1 685,-",Forhjulsdrift
Hvit med orginal,"1,5 l",138221870,18.03.2015,Diesel,Manuell,57 519 km,Mercedes-Benz Citan,2015,90 Hk,"159 900,-",Forhjulsdrift
Hvit,"1,6 l",138221860,28.06.2013,Diesel,Manuell,88 200 km,Honda Civic,2013,120 Hk,"129 800,-",Forhjulsdrift
Grå,"1,2 l",138221868,22.08.2017,Bensin,Manuell,22 547 km,Nissan Qashqai,2017,116 Hk,"299 000,-",Forhjulsdrift
Mineralgrå Metallic,,138221852,04.12.2015,Elektrisitet,Automat,28 000 km,BMW i3,2016,170 Hk,"205 000,-",Bakhjulsdrift
Sort metalic,"1,2 l",138221859,20.10.2017,Elektrisitet+bensin,Manuell,4 435 km,Suzuki Ignis,2017,90 Hk,"234 900,-",Firehjulsdrift
Tungsten Silver,"1,6 l",138221817,02.09.2014,Diesel,Manuell,124 256 km,Volkswagen Golf,2015,105 Hk,"209 900,-",Firehjulsdrift
Koksgrå metalic,"1,6 l",138221805,29.04.2014,Diesel,Manuell,67 606 km,Skoda Octavia,2014,105 Hk,"199 900,-",Forhjulsdrift
Candyhvit,,138221839,29.01.2014,Diesel,Manuell,143 184 km,Volkswagen Caddy,2014,140 Hk,"179 900,-",Firehjulsdrift
Koksgrå metallic,"1,2 l",138220828,,Bensin,Manuell,9 325 km,Citroen C3,2018,82 Hk,"1 685,-",Forhjulsdrift
Hvit med orginal,"1,5 l",138221870,18.03.2015,Diesel,Manuell,57 519 km,Mercedes-Benz Citan,2015,90 Hk,"159 900,-",Forhjulsdrift
Hvit,"1,6 l",138221860,28.06.2013,Diesel,Manuell,88 200 km,Honda Civic,2013,120 Hk,"129 800,-",Forhjulsdrift
Grå,"1,2 l",138221868,22.08.2017,Bensin,Manuell,22 547 km,Nissan Qashqai,2017,116 Hk,"299 000,-",Forhjulsdrift
Mineralgrå Metallic,,138221852,04.12.2015,Elektrisitet,Automat,28 000 km,BMW i3,2016,170 Hk,"205 000,-",Bakhjulsdrift
Sort metalic,"1,2 l",138221859,20.10.2017,Elektrisitet+bensin,Manuell,4 435 km,Suzuki Ignis,2017,90 Hk,"234 900,-",Firehjulsdrift
Tungsten Silver,"1,6 l",138221817,02.09.2014,Diesel,Manuell,124 256 km,Volkswagen Golf,2015,105 Hk,"209 900,-",Firehjulsdrift
Koksgrå metalic,"1,6 l",138221805,29.04.2014,Diesel,Manuell,67 606 km,Skoda Octavia,2014,105 Hk,"199 900,-",Forhjulsdrift
Candyhvit,,138221839,29.01.2014,Diesel,Manuell,143 184 km,Volkswagen Caddy,2014,140 Hk,"179 900,-",Firehjulsdrift
Lavagrå metalic,2 l,138221830,15.01.2015,Diesel,Manuell,73 004 km,Audi A4 allroad,2015,150 Hk,"329 900,-",Firehjulsdrift
Grå,"1,6 l",138221758,16.12.2014,Diesel,Manuell,133 046 km,Ford Grand C-MAX,2014,116 Hk,"159 900,-",Forhjulsdrift
DEEP BLACK PERLMET.,"1,6 l",138221795,28.09.2015,Diesel,Automat,29 551 km,Volkswagen Golf,2016,110 Hk,"229 800,-",Forhjulsdrift
Koksgrå metalic,2 l,138221797,11.11.2015,Diesel,Automat,78 187 km,BMW 3-serie,2016,190 Hk,"439 900,-",Firehjulsdrift
944 Chile Red Me,3 l,138221769,,Diesel,Automat,111 401 km,Land Rover Range Rover Sport,2014,211 Hk,"599 900,-",Firehjulsdrift
Sølv,,138220475,,Diesel,Manuell,178 000 km,Toyota Verso,2008,134 Hk,"64 696,-",Forhjulsdrift
Sølv,"1,8 l",138221783,20.02.2015,Elektrisitet+bensin,Automat,67 920 km,Toyota Prius,2015,99 Hk,"229 900,-",Forhjulsdrift
Grå,1 360 l,138214582,12.10.2005,Bensin,Manuell,125 000 km,Peugeot 206,2005,75 Hk,"29 618,-",Forhjulsdrift
Hvit,"2,5 l",138218362,06.05.2003,Diesel,Manuell,306 000 km,Nissan Navara,2003,133 Hk,"37 000,-",Firehjulsdrift
Grå,1 686 l,138217497,04.05.2010,Diesel,Manuell,108 497 km,Opel Astra,2010,110 Hk,"83 775,-",Forhjulsdrift
Magic blue Perl-/Met 467,"2,4 l",138221591,10.12.2015,Diesel,Automat,74 200 km,Volvo XC 60,2016,163 Hk,"469 000,-",Firehjulsdrift
RACE BLUE METALLIC,"1,8 l",138221400,14.07.2016,Bensin,Automat,69 028 km,Skoda Octavia,2016,179 Hk,"299 000,-",Forhjulsdrift
Sort met.,2 l,138221453,10.09.2014,Diesel,Manuell,107 800 km,Volkswagen Passat,2015,140 Hk,"169 000,-",Forhjulsdrift
Grå metallic,,138057989,31.03.2016,Elektrisitet,Automat,25 000 km,Renault Zoe,2016,,"159 000,-",Forhjulsdrift
REFLEXSILVER MET,1 l,138221360,14.01.2016,Bensin,Automat,19 601 km,Volkswagen Polo,2016,95 Hk,"174 000,-",Forhjulsdrift
Blå,2 l,138221362,23.01.2012,Diesel,Manuell,127 184 km,Volkswagen Transporter,2012,140 Hk,"189 500,-",Firehjulsdrift
Sort stjerne met GNE,,138221335,04.09.2017,Elektrisitet,Automat,26 603 km,Renault Zoe,2017,92 Hk,"239 000,-",Forhjulsdrift
